date,year,month,month_name,day,day_of_week,week_of_year,quarter
1997-06-10,1997,6,June,10,1,24,Q-2
1997-06-11,1997,6,June,11,2,24,Q-2
1997-06-12,1997,6,June,12,3,24,Q-2
1997-06-13,1997,6,June,13,4,24,Q-2
1997-06-14,1997,6,June,14,5,24,Q-2
1997-06-15,1997,6,June,15,6,24,Q-2
1997-06-16,1997,6,June,16,0,25,Q-2
1997-06-17,1997,6,June,17,1,25,Q-2
1997-06-18,1997,6,June,18,2,25,Q-2
1997-06-19,1997,6,June,19,3,25,Q-2
1997-06-20,1997,6,June,20,4,25,Q-2
1997-06-21,1997,6,June,21,5,25,Q-2
1997-06-22,1997,6,June,22,6,25,Q-2
1997-06-23,1997,6,June,23,0,26,Q-2
1997-06-24,1997,6,June,24,1,26,Q-2
1997-06-25,1997,6,June,25,2,26,Q-2
1997-06-26,1997,6,June,26,3,26,Q-2
1997-06-27,1997,6,June,27,4,26,Q-2
1997-06-28,1997,6,June,28,5,26,Q-2
1997-06-29,1997,6,June,29,6,26,Q-2
1997-06-30,1997,6,June,30,0,27,Q-2
1997-07-01,1997,7,July,1,1,27,Q-3
1997-07-02,1997,7,July,2,2,27,Q-3
1997-07-03,1997,7,July,3,3,27,Q-3
1997-07-04,1997,7,July,4,4,27,Q-3
1997-07-05,1997,7,July,5,5,27,Q-3
1997-07-06,1997,7,July,6,6,27,Q-3
1997-07-07,1997,7,July,7,0,28,Q-3
1997-07-08,1997,7,July,8,1,28,Q-3
1997-07-09,1997,7,July,9,2,28,Q-3
1997-07-10,1997,7,July,10,3,28,Q-3
1997-07-11,1997,7,July,11,4,28,Q-3
1997-07-12,1997,7,July,12,5,28,Q-3
1997-07-13,1997,7,July,13,6,28,Q-3
1997-07-14,1997,7,July,14,0,29,Q-3
1997-07-15,1997,7,July,15,1,29,Q-3
1997-07-16,1997,7,July,16,2,29,Q-3
1997-07-17,1997,7,July,17,3,29,Q-3
1997-07-18,1997,7,July,18,4,29,Q-3
1997-07-19,1997,7,July,19,5,29,Q-3
1997-07-20,1997,7,July,20,6,29,Q-3
1997-07-21,1997,7,July,21,0,30,Q-3
1997-07-22,1997,7,July,22,1,30,Q-3
1997-07-23,1997,7,July,23,2,30,Q-3
1997-07-24,1997,7,July,24,3,30,Q-3
1997-07-25,1997,7,July,25,4,30,Q-3
1997-07-26,1997,7,July,26,5,30,Q-3
1997-07-27,1997,7,July,27,6,30,Q-3
1997-07-28,1997,7,July,28,0,31,Q-3
1997-07-29,1997,7,July,29,1,31,Q-3
1997-07-30,1997,7,July,30,2,31,Q-3
1997-07-31,1997,7,July,31,3,31,Q-3
1997-08-01,1997,8,August,1,4,31,Q-3
1997-08-02,1997,8,August,2,5,31,Q-3
1997-08-03,1997,8,August,3,6,31,Q-3
1997-08-04,1997,8,August,4,0,32,Q-3
1997-08-05,1997,8,August,5,1,32,Q-3
1997-08-06,1997,8,August,6,2,32,Q-3
1997-08-07,1997,8,August,7,3,32,Q-3
1997-08-08,1997,8,August,8,4,32,Q-3
1997-08-09,1997,8,August,9,5,32,Q-3
1997-08-10,1997,8,August,10,6,32,Q-3
1997-08-11,1997,8,August,11,0,33,Q-3
1997-08-12,1997,8,August,12,1,33,Q-3
1997-08-13,1997,8,August,13,2,33,Q-3
1997-08-14,1997,8,August,14,3,33,Q-3
1997-08-15,1997,8,August,15,4,33,Q-3
1997-08-16,1997,8,August,16,5,33,Q-3
1997-08-17,1997,8,August,17,6,33,Q-3
1997-08-18,1997,8,August,18,0,34,Q-3
1997-08-19,1997,8,August,19,1,34,Q-3
1997-08-20,1997,8,August,20,2,34,Q-3
1997-08-21,1997,8,August,21,3,34,Q-3
1997-08-22,1997,8,August,22,4,34,Q-3
1997-08-23,1997,8,August,23,5,34,Q-3
1997-08-24,1997,8,August,24,6,34,Q-3
1997-08-25,1997,8,August,25,0,35,Q-3
1997-08-26,1997,8,August,26,1,35,Q-3
1997-08-27,1997,8,August,27,2,35,Q-3
1997-08-28,1997,8,August,28,3,35,Q-3
1997-08-29,1997,8,August,29,4,35,Q-3
1997-08-30,1997,8,August,30,5,35,Q-3
1997-08-31,1997,8,August,31,6,35,Q-3
1997-09-01,1997,9,September,1,0,36,Q-3
1997-09-02,1997,9,September,2,1,36,Q-3
1997-09-03,1997,9,September,3,2,36,Q-3
1997-09-04,1997,9,September,4,3,36,Q-3
1997-09-05,1997,9,September,5,4,36,Q-3
1997-09-06,1997,9,September,6,5,36,Q-3
1997-09-07,1997,9,September,7,6,36,Q-3
1997-09-08,1997,9,September,8,0,37,Q-3
1997-09-09,1997,9,September,9,1,37,Q-3
1997-09-10,1997,9,September,10,2,37,Q-3
1997-09-11,1997,9,September,11,3,37,Q-3
1997-09-12,1997,9,September,12,4,37,Q-3
1997-09-13,1997,9,September,13,5,37,Q-3
1997-09-14,1997,9,September,14,6,37,Q-3
1997-09-15,1997,9,September,15,0,38,Q-3
1997-09-16,1997,9,September,16,1,38,Q-3
1997-09-17,1997,9,September,17,2,38,Q-3
1997-09-18,1997,9,September,18,3,38,Q-3
1997-09-19,1997,9,September,19,4,38,Q-3
1997-09-20,1997,9,September,20,5,38,Q-3
1997-09-21,1997,9,September,21,6,38,Q-3
1997-09-22,1997,9,September,22,0,39,Q-3
1997-09-23,1997,9,September,23,1,39,Q-3
1997-09-24,1997,9,September,24,2,39,Q-3
1997-09-25,1997,9,September,25,3,39,Q-3
1997-09-26,1997,9,September,26,4,39,Q-3
1997-09-27,1997,9,September,27,5,39,Q-3
1997-09-28,1997,9,September,28,6,39,Q-3
1997-09-29,1997,9,September,29,0,40,Q-3
1997-09-30,1997,9,September,30,1,40,Q-3
1997-10-01,1997,10,October,1,2,40,Q-4
1997-10-02,1997,10,October,2,3,40,Q-4
1997-10-03,1997,10,October,3,4,40,Q-4
1997-10-04,1997,10,October,4,5,40,Q-4
1997-10-05,1997,10,October,5,6,40,Q-4
1997-10-06,1997,10,October,6,0,41,Q-4
1997-10-07,1997,10,October,7,1,41,Q-4
1997-10-08,1997,10,October,8,2,41,Q-4
1997-10-09,1997,10,October,9,3,41,Q-4
1997-10-10,1997,10,October,10,4,41,Q-4
1997-10-11,1997,10,October,11,5,41,Q-4
1997-10-12,1997,10,October,12,6,41,Q-4
1997-10-13,1997,10,October,13,0,42,Q-4
1997-10-14,1997,10,October,14,1,42,Q-4
1997-10-15,1997,10,October,15,2,42,Q-4
1997-10-16,1997,10,October,16,3,42,Q-4
1997-10-17,1997,10,October,17,4,42,Q-4
1997-10-18,1997,10,October,18,5,42,Q-4
1997-10-19,1997,10,October,19,6,42,Q-4
1997-10-20,1997,10,October,20,0,43,Q-4
1997-10-21,1997,10,October,21,1,43,Q-4
1997-10-22,1997,10,October,22,2,43,Q-4
1997-10-23,1997,10,October,23,3,43,Q-4
1997-10-24,1997,10,October,24,4,43,Q-4
1997-10-25,1997,10,October,25,5,43,Q-4
1997-10-26,1997,10,October,26,6,43,Q-4
1997-10-27,1997,10,October,27,0,44,Q-4
1997-10-28,1997,10,October,28,1,44,Q-4
1997-10-29,1997,10,October,29,2,44,Q-4
1997-10-30,1997,10,October,30,3,44,Q-4
1997-10-31,1997,10,October,31,4,44,Q-4
1997-11-01,1997,11,November,1,5,44,Q-4
1997-11-02,1997,11,November,2,6,44,Q-4
1997-11-03,1997,11,November,3,0,45,Q-4
1997-11-04,1997,11,November,4,1,45,Q-4
1997-11-05,1997,11,November,5,2,45,Q-4
1997-11-06,1997,11,November,6,3,45,Q-4
1997-11-07,1997,11,November,7,4,45,Q-4
1997-11-08,1997,11,November,8,5,45,Q-4
1997-11-09,1997,11,November,9,6,45,Q-4
1997-11-10,1997,11,November,10,0,46,Q-4
1997-11-11,1997,11,November,11,1,46,Q-4
1997-11-12,1997,11,November,12,2,46,Q-4
1997-11-13,1997,11,November,13,3,46,Q-4
1997-11-14,1997,11,November,14,4,46,Q-4
1997-11-15,1997,11,November,15,5,46,Q-4
1997-11-16,1997,11,November,16,6,46,Q-4
1997-11-17,1997,11,November,17,0,47,Q-4
1997-11-18,1997,11,November,18,1,47,Q-4
1997-11-19,1997,11,November,19,2,47,Q-4
1997-11-20,1997,11,November,20,3,47,Q-4
1997-11-21,1997,11,November,21,4,47,Q-4
1997-11-22,1997,11,November,22,5,47,Q-4
1997-11-23,1997,11,November,23,6,47,Q-4
1997-11-24,1997,11,November,24,0,48,Q-4
1997-11-25,1997,11,November,25,1,48,Q-4
1997-11-26,1997,11,November,26,2,48,Q-4
1997-11-27,1997,11,November,27,3,48,Q-4
1997-11-28,1997,11,November,28,4,48,Q-4
1997-11-29,1997,11,November,29,5,48,Q-4
1997-11-30,1997,11,November,30,6,48,Q-4
1997-12-01,1997,12,December,1,0,49,Q-4
1997-12-02,1997,12,December,2,1,49,Q-4
1997-12-03,1997,12,December,3,2,49,Q-4
1997-12-04,1997,12,December,4,3,49,Q-4
1997-12-05,1997,12,December,5,4,49,Q-4
1997-12-06,1997,12,December,6,5,49,Q-4
1997-12-07,1997,12,December,7,6,49,Q-4
1997-12-08,1997,12,December,8,0,50,Q-4
1997-12-09,1997,12,December,9,1,50,Q-4
1997-12-10,1997,12,December,10,2,50,Q-4
1997-12-11,1997,12,December,11,3,50,Q-4
1997-12-12,1997,12,December,12,4,50,Q-4
1997-12-13,1997,12,December,13,5,50,Q-4
1997-12-14,1997,12,December,14,6,50,Q-4
1997-12-15,1997,12,December,15,0,51,Q-4
1997-12-16,1997,12,December,16,1,51,Q-4
1997-12-17,1997,12,December,17,2,51,Q-4
1997-12-18,1997,12,December,18,3,51,Q-4
1997-12-19,1997,12,December,19,4,51,Q-4
1997-12-20,1997,12,December,20,5,51,Q-4
1997-12-21,1997,12,December,21,6,51,Q-4
1997-12-22,1997,12,December,22,0,52,Q-4
1997-12-23,1997,12,December,23,1,52,Q-4
1997-12-24,1997,12,December,24,2,52,Q-4
1997-12-25,1997,12,December,25,3,52,Q-4
1997-12-26,1997,12,December,26,4,52,Q-4
1997-12-27,1997,12,December,27,5,52,Q-4
1997-12-28,1997,12,December,28,6,52,Q-4
1997-12-29,1997,12,December,29,0,1,Q-4
1997-12-30,1997,12,December,30,1,1,Q-4
1997-12-31,1997,12,December,31,2,1,Q-4
1998-01-01,1998,1,January,1,3,1,Q-1
1998-01-02,1998,1,January,2,4,1,Q-1
1998-01-03,1998,1,January,3,5,1,Q-1
1998-01-04,1998,1,January,4,6,1,Q-1
1998-01-05,1998,1,January,5,0,2,Q-1
1998-01-06,1998,1,January,6,1,2,Q-1
1998-01-07,1998,1,January,7,2,2,Q-1
1998-01-08,1998,1,January,8,3,2,Q-1
1998-01-09,1998,1,January,9,4,2,Q-1
1998-01-10,1998,1,January,10,5,2,Q-1
1998-01-11,1998,1,January,11,6,2,Q-1
1998-01-12,1998,1,January,12,0,3,Q-1
1998-01-13,1998,1,January,13,1,3,Q-1
1998-01-14,1998,1,January,14,2,3,Q-1
1998-01-15,1998,1,January,15,3,3,Q-1
1998-01-16,1998,1,January,16,4,3,Q-1
1998-01-17,1998,1,January,17,5,3,Q-1
1998-01-18,1998,1,January,18,6,3,Q-1
1998-01-19,1998,1,January,19,0,4,Q-1
1998-01-20,1998,1,January,20,1,4,Q-1
1998-01-21,1998,1,January,21,2,4,Q-1
1998-01-22,1998,1,January,22,3,4,Q-1
1998-01-23,1998,1,January,23,4,4,Q-1
1998-01-24,1998,1,January,24,5,4,Q-1
1998-01-25,1998,1,January,25,6,4,Q-1
1998-01-26,1998,1,January,26,0,5,Q-1
1998-01-27,1998,1,January,27,1,5,Q-1
1998-01-28,1998,1,January,28,2,5,Q-1
1998-01-29,1998,1,January,29,3,5,Q-1
1998-01-30,1998,1,January,30,4,5,Q-1
1998-01-31,1998,1,January,31,5,5,Q-1
1998-02-01,1998,2,February,1,6,5,Q-1
1998-02-02,1998,2,February,2,0,6,Q-1
1998-02-03,1998,2,February,3,1,6,Q-1
1998-02-04,1998,2,February,4,2,6,Q-1
1998-02-05,1998,2,February,5,3,6,Q-1
1998-02-06,1998,2,February,6,4,6,Q-1
1998-02-07,1998,2,February,7,5,6,Q-1
1998-02-08,1998,2,February,8,6,6,Q-1
1998-02-09,1998,2,February,9,0,7,Q-1
1998-02-10,1998,2,February,10,1,7,Q-1
1998-02-11,1998,2,February,11,2,7,Q-1
1998-02-12,1998,2,February,12,3,7,Q-1
1998-02-13,1998,2,February,13,4,7,Q-1
1998-02-14,1998,2,February,14,5,7,Q-1
1998-02-15,1998,2,February,15,6,7,Q-1
1998-02-16,1998,2,February,16,0,8,Q-1
1998-02-17,1998,2,February,17,1,8,Q-1
1998-02-18,1998,2,February,18,2,8,Q-1
1998-02-19,1998,2,February,19,3,8,Q-1
1998-02-20,1998,2,February,20,4,8,Q-1
1998-02-21,1998,2,February,21,5,8,Q-1
1998-02-22,1998,2,February,22,6,8,Q-1
1998-02-23,1998,2,February,23,0,9,Q-1
1998-02-24,1998,2,February,24,1,9,Q-1
1998-02-25,1998,2,February,25,2,9,Q-1
1998-02-26,1998,2,February,26,3,9,Q-1
1998-02-27,1998,2,February,27,4,9,Q-1
1998-02-28,1998,2,February,28,5,9,Q-1
1998-03-01,1998,3,March,1,6,9,Q-1
1998-03-02,1998,3,March,2,0,10,Q-1
1998-03-03,1998,3,March,3,1,10,Q-1
1998-03-04,1998,3,March,4,2,10,Q-1
1998-03-05,1998,3,March,5,3,10,Q-1
1998-03-06,1998,3,March,6,4,10,Q-1
1998-03-07,1998,3,March,7,5,10,Q-1
1998-03-08,1998,3,March,8,6,10,Q-1
1998-03-09,1998,3,March,9,0,11,Q-1
1998-03-10,1998,3,March,10,1,11,Q-1
1998-03-11,1998,3,March,11,2,11,Q-1
1998-03-12,1998,3,March,12,3,11,Q-1
1998-03-13,1998,3,March,13,4,11,Q-1
1998-03-14,1998,3,March,14,5,11,Q-1
1998-03-15,1998,3,March,15,6,11,Q-1
1998-03-16,1998,3,March,16,0,12,Q-1
1998-03-17,1998,3,March,17,1,12,Q-1
1998-03-18,1998,3,March,18,2,12,Q-1
1998-03-19,1998,3,March,19,3,12,Q-1
1998-03-20,1998,3,March,20,4,12,Q-1
1998-03-21,1998,3,March,21,5,12,Q-1
1998-03-22,1998,3,March,22,6,12,Q-1
1998-03-23,1998,3,March,23,0,13,Q-1
1998-03-24,1998,3,March,24,1,13,Q-1
1998-03-25,1998,3,March,25,2,13,Q-1
1998-03-26,1998,3,March,26,3,13,Q-1
1998-03-27,1998,3,March,27,4,13,Q-1
1998-03-28,1998,3,March,28,5,13,Q-1
1998-03-29,1998,3,March,29,6,13,Q-1
1998-03-30,1998,3,March,30,0,14,Q-1
1998-03-31,1998,3,March,31,1,14,Q-1
1998-04-01,1998,4,April,1,2,14,Q-2
1998-04-02,1998,4,April,2,3,14,Q-2
1998-04-03,1998,4,April,3,4,14,Q-2
1998-04-04,1998,4,April,4,5,14,Q-2
1998-04-05,1998,4,April,5,6,14,Q-2
1998-04-06,1998,4,April,6,0,15,Q-2
1998-04-07,1998,4,April,7,1,15,Q-2
1998-04-08,1998,4,April,8,2,15,Q-2
1998-04-09,1998,4,April,9,3,15,Q-2
1998-04-10,1998,4,April,10,4,15,Q-2
1998-04-11,1998,4,April,11,5,15,Q-2
1998-04-12,1998,4,April,12,6,15,Q-2
1998-04-13,1998,4,April,13,0,16,Q-2
1998-04-14,1998,4,April,14,1,16,Q-2
1998-04-15,1998,4,April,15,2,16,Q-2
1998-04-16,1998,4,April,16,3,16,Q-2
1998-04-17,1998,4,April,17,4,16,Q-2
1998-04-18,1998,4,April,18,5,16,Q-2
1998-04-19,1998,4,April,19,6,16,Q-2
1998-04-20,1998,4,April,20,0,17,Q-2
1998-04-21,1998,4,April,21,1,17,Q-2
1998-04-22,1998,4,April,22,2,17,Q-2
1998-04-23,1998,4,April,23,3,17,Q-2
1998-04-24,1998,4,April,24,4,17,Q-2
1998-04-25,1998,4,April,25,5,17,Q-2
1998-04-26,1998,4,April,26,6,17,Q-2
1998-04-27,1998,4,April,27,0,18,Q-2
1998-04-28,1998,4,April,28,1,18,Q-2
1998-04-29,1998,4,April,29,2,18,Q-2
1998-04-30,1998,4,April,30,3,18,Q-2
1998-05-01,1998,5,May,1,4,18,Q-2
1998-05-02,1998,5,May,2,5,18,Q-2
1998-05-03,1998,5,May,3,6,18,Q-2
1998-05-04,1998,5,May,4,0,19,Q-2
1998-05-05,1998,5,May,5,1,19,Q-2
1998-05-06,1998,5,May,6,2,19,Q-2
1998-05-07,1998,5,May,7,3,19,Q-2
1998-05-08,1998,5,May,8,4,19,Q-2
1998-05-09,1998,5,May,9,5,19,Q-2
1998-05-10,1998,5,May,10,6,19,Q-2
1998-05-11,1998,5,May,11,0,20,Q-2
1998-05-12,1998,5,May,12,1,20,Q-2
1998-05-13,1998,5,May,13,2,20,Q-2
1998-05-14,1998,5,May,14,3,20,Q-2
1998-05-15,1998,5,May,15,4,20,Q-2
1998-05-16,1998,5,May,16,5,20,Q-2
1998-05-17,1998,5,May,17,6,20,Q-2
1998-05-18,1998,5,May,18,0,21,Q-2
1998-05-19,1998,5,May,19,1,21,Q-2
1998-05-20,1998,5,May,20,2,21,Q-2
1998-05-21,1998,5,May,21,3,21,Q-2
1998-05-22,1998,5,May,22,4,21,Q-2
1998-05-23,1998,5,May,23,5,21,Q-2
1998-05-24,1998,5,May,24,6,21,Q-2
1998-05-25,1998,5,May,25,0,22,Q-2
1998-05-26,1998,5,May,26,1,22,Q-2
1998-05-27,1998,5,May,27,2,22,Q-2
1998-05-28,1998,5,May,28,3,22,Q-2
1998-05-29,1998,5,May,29,4,22,Q-2
1998-05-30,1998,5,May,30,5,22,Q-2
1998-05-31,1998,5,May,31,6,22,Q-2
1998-06-01,1998,6,June,1,0,23,Q-2
1998-06-02,1998,6,June,2,1,23,Q-2
1998-06-03,1998,6,June,3,2,23,Q-2
1998-06-04,1998,6,June,4,3,23,Q-2
1998-06-05,1998,6,June,5,4,23,Q-2
1998-06-06,1998,6,June,6,5,23,Q-2
1998-06-07,1998,6,June,7,6,23,Q-2
1998-06-08,1998,6,June,8,0,24,Q-2
1998-06-09,1998,6,June,9,1,24,Q-2
1998-06-10,1998,6,June,10,2,24,Q-2
1998-06-11,1998,6,June,11,3,24,Q-2
1998-06-12,1998,6,June,12,4,24,Q-2
1998-06-13,1998,6,June,13,5,24,Q-2
1998-06-14,1998,6,June,14,6,24,Q-2
1998-06-15,1998,6,June,15,0,25,Q-2
1998-06-16,1998,6,June,16,1,25,Q-2
1998-06-17,1998,6,June,17,2,25,Q-2
1998-06-18,1998,6,June,18,3,25,Q-2
1998-06-19,1998,6,June,19,4,25,Q-2
1998-06-20,1998,6,June,20,5,25,Q-2
1998-06-21,1998,6,June,21,6,25,Q-2
1998-06-22,1998,6,June,22,0,26,Q-2
1998-06-23,1998,6,June,23,1,26,Q-2
1998-06-24,1998,6,June,24,2,26,Q-2
1998-06-25,1998,6,June,25,3,26,Q-2
1998-06-26,1998,6,June,26,4,26,Q-2
1998-06-27,1998,6,June,27,5,26,Q-2
1998-06-28,1998,6,June,28,6,26,Q-2
1998-06-29,1998,6,June,29,0,27,Q-2
1998-06-30,1998,6,June,30,1,27,Q-2
1998-07-01,1998,7,July,1,2,27,Q-3
1998-07-02,1998,7,July,2,3,27,Q-3
1998-07-03,1998,7,July,3,4,27,Q-3
1998-07-04,1998,7,July,4,5,27,Q-3
1998-07-05,1998,7,July,5,6,27,Q-3
1998-07-06,1998,7,July,6,0,28,Q-3
1998-07-07,1998,7,July,7,1,28,Q-3
1998-07-08,1998,7,July,8,2,28,Q-3
1998-07-09,1998,7,July,9,3,28,Q-3
1998-07-10,1998,7,July,10,4,28,Q-3
1998-07-11,1998,7,July,11,5,28,Q-3
